연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2015,안덕면,면적,78.0,739.7,10.0,5.3,63.5,51.9,16.0,2024-05-13 00:00:00
2015,안덕면,생산량,1507.0,19390.0,220.0,380.0,1310.0,1577.7,523.3,2024-05-13 00:00:00
2015,표선면,농가수,0.0,0.0,0.0,89.0,83.0,637.0,31.0,2024-05-13 00:00:00
2015,표선면,면적,38.0,937.0,0.0,34.6,55.0,262.3,8.1,2024-05-13 00:00:00
2015,표선면,생산량,1045.0,26704.0,0.0,2832.0,1138.0,10631.9,220.0,2024-05-13 00:00:00
2015,송산동,농가수,34.0,283.0,18.0,34.0,14.0,90.0,0.0,2024-05-13 00:00:00
2015,송산동,면적,6.8,161.4,4.2,12.3,4.2,31.5,0.0,2024-05-13 00:00:00
2015,송산동,생산량,254.0,5724.0,108.0,940.0,21.0,1034.7,0.0,2024-05-13 00:00:00
2015,천지동,농가수,9.0,27.0,13.0,0.0,0.0,8.0,0.0,2024-05-13 00:00:00
2015,천지동,면적,2.9,7.8,4.0,0.0,0.0,2.7,0.0,2024-05-13 00:00:00
2015,천지동,생산량,71.0,195.0,96.0,0.0,0.0,103.6,0.0,2024-05-13 00:00:00
2015,효돈동,농가수,102.0,690.0,0.0,10.0,36.0,194.0,0.0,2024-05-13 00:00:00
2015,효돈동,면적,35.4,295.0,0.0,3.3,23.1,65.4,0.0,2024-05-13 00:00:00
2015,효돈동,생산량,1458.0,9567.0,0.0,280.0,478.0,2155.6,0.0,2024-05-13 00:00:00
2015,영천동,농가수,118.0,701.0,56.0,3.0,59.0,344.0,0.0,2024-05-13 00:00:00
2015,영천동,면적,31.0,621.0,19.0,1.1,32.4,130.7,0.0,2024-05-13 00:00:00
2015,영천동,생산량,982.0,19328.0,768.0,90.0,654.0,3822.5,0.0,2024-05-13 00:00:00
2015,동홍동,농가수,53.0,368.0,28.0,2.0,6.0,53.0,0.0,2024-05-13 00:00:00
2015,동홍동,면적,9.7,160.3,5.5,0.5,2.2,17.6,0.0,2024-05-13 00:00:00
2015,동홍동,생산량,253.0,4096.0,155.0,38.0,33.0,443.9,0.0,2024-05-13 00:00:00
2015,서홍동,농가수,15.0,318.0,19.0,4.0,26.0,34.0,0.0,2024-05-13 00:00:00
2015,서홍동,면적,12.3,246.7,11.0,1.6,16.4,14.8,0.0,2024-05-13 00:00:00
2015,서홍동,생산량,317.0,6365.0,284.0,130.0,324.0,353.1,0.0,2024-05-13 00:00:00
2015,대륜동,농가수,15.0,397.0,11.0,3.0,0.0,96.0,6.0,2024-05-13 00:00:00
2015,대륜동,면적,13.2,435.4,6.0,0.5,0.0,36.4,1.0,2024-05-13 00:00:00
2015,대륜동,생산량,384.0,14629.0,175.0,38.0,0.0,1068.9,29.2,2024-05-13 00:00:00
